Year Month,Postal Code,Customer Class,Total Gallons
201201,78613,Irrigation - Commercial,855400
201201,78613,Commercial,2880800
201201,78617,City of Austin,6500300
201201,78617,Commercial,9162600
201201,78617,Austin Water Utility,438700
201201,78617,Irrigation - City of Austin,0
201201,78617,Irrigation - Commercial,585800
201201,78640,Commercial,57900
201201,78652,Irrigation - Commercial,39900
201201,78652,Commercial,156300
201201,78653,Commercial,100100
201201,78653,Irrigation - Commercial,46900
201201,78653,Wholesale,0
201201,78660,Irrigation - Commercial,1461500
201201,78660,Commercial,3544000
201201,78660,Wholesale,26510300
201201,78701,Irrigation - Commercial,1312300
201201,78701,Large Volume,174400
201201,78701,Austin Water Utility,96000
201201,78701,Commercial,57809000
201201,78701,City of Austin,3680700
201201,78701,Irrigation - City of Austin,691500
201201,78702,Commercial,26057400
201201,78702,Austin Water Utility,78000
201201,78702,Irrigation - Commercial,1327600
201201,78702,City of Austin,971500
201201,78702,Irrigation - City of Austin,586200
201201,78703,City of Austin,901500
201201,78703,Commercial,14608000
201201,78703,Irrigation - Commercial,876200
201201,78703,Irrigation - City of Austin,143100
201201,78703,Austin Water Utility,0
201201,78704,Irrigation - City of Austin,71500
201201,78704,Irrigation - Commercial,1991300
201201,78704,City of Austin,1171000
201201,78704,Austin Water Utility,605800
201201,78704,Commercial,33103200
201201,78705,City of Austin,90900
201201,78705,Large Volume,2239800
201201,78705,Irrigation - Commercial,1228600
201201,78705,Commercial,24929700
201201,78705,Irrigation - City of Austin,400
201201,78712,Irrigation - Commercial,165700
201201,78712,Commercial,4299900
201201,78712,Large Volume,7968700
201201,78712,Irrigation - Large Volume,11155600
201201,78712,Irrigation - City of Austin,0
201201,78717,Irrigation - City of Austin,0
201201,78717,City of Austin,0
201201,78717,Irrigation - Commercial,3921900
201201,78717,Commercial,4208700
201201,78719,Austin Water Utility,137700
201201,78719,Irrigation - Commercial,340200
201201,78719,City of Austin,2625100
201201,78719,Wholesale,1615400
201201,78719,Commercial,3383200
201201,78719,Irrigation - City of Austin,115300
201201,78721,Austin Water Utility,11100
201201,78721,City of Austin,146800
201201,78721,Irrigation - City of Austin,156600
201201,78721,Irrigation - Commercial,339300
201201,78721,Commercial,7822000
201201,78722,Irrigation - City of Austin,1923000
201201,78722,City of Austin,17000
201201,78722,Irrigation - Commercial,195400
201201,78722,Commercial,4302000
201201,78723,Austin Water Utility,0
201201,78723,City of Austin,197500
201201,78723,Irrigation - City of Austin,27000
201201,78723,Irrigation - Commercial,2474100
201201,78723,Commercial,13943100
201201,78724,Austin Water Utility,0
201201,78724,City of Austin,1395100
201201,78724,Irrigation - City of Austin,0
201201,78724,Commercial,5376800
201201,78724,Irrigation - Commercial,2265800
201201,78725,Commercial,5222100
201201,78725,Wholesale,1166100
201201,78725,City of Austin,25100
201201,78725,Irrigation - Commercial,80600
201201,78725,Large Volume,21456100
201201,78725,Austin Water Utility,1034400
201201,78726,Austin Water Utility,0
201201,78726,Commercial,6281400
201201,78726,City of Austin,301000
201201,78726,Irrigation - Commercial,1740200
201201,78727,Irrigation - Commercial,2288000
201201,78727,City of Austin,27000
201201,78727,Commercial,11818600
201201,78727,Irrigation - City of Austin,0
201201,78728,Large Volume,17888000
201201,78728,Wholesale,37528200
201201,78728,Commercial,3083900
201201,78728,Irrigation - Commercial,1144600
201201,78729,City of Austin,12900
201201,78729,Irrigation - Commercial,2042800
201201,78729,Irrigation - City of Austin,0
201201,78729,Wholesale,24256800
201201,78729,Commercial,9603200
201201,78730,Commercial,2086200
201201,78730,Irrigation - Commercial,1853300
201201,78731,Austin Water Utility,0
201201,78731,City of Austin,102900
201201,78731,Irrigation - Commercial,2469000
201201,78731,Commercial,20735900
201201,78731,Irrigation - City of Austin,77400
201201,78732,Commercial,3521000
201201,78735,Wholesale,339100
201201,78735,City of Austin,289000
201201,78735,Commercial,7331000
201201,78735,Irrigation - Commercial,2591500
201201,78735,Large Volume,12060000
201201,78735,Austin Water Utility,0
201201,78736,Irrigation - Commercial,208900
201201,78736,Commercial,1328600
201201,78737,Commercial,1137400
201201,78737,Wholesale,478000
201201,78737,Irrigation - Commercial,161100
201201,78739,Commercial,1457500
201201,78739,Irrigation - Commercial,886000
201201,78739,Irrigation - City of Austin,0
201201,78739,City of Austin,9000
201201,78739,Wholesale,10531500
201201,78741,Irrigation - City of Austin,266200
201201,78741,Large Volume,31206300
201201,78741,Austin Water Utility,34000
201201,78741,City of Austin,295400
201201,78741,Irrigation - Commercial,2213600
201201,78741,Commercial,14137200
201201,78742,Irrigation - Commercial,39900
201201,78742,Commercial,378700
201201,78744,Wholesale,1904000
201201,78744,Irrigation - City of Austin,848300
201201,78744,Irrigation - Commercial,3558900
201201,78744,Commercial,20905800
201201,78744,City of Austin,989100
201201,78744,Austin Water Utility,355000
201201,78745,Irrigation - City of Austin,3200
201201,78745,Irrigation - Commercial,3806500
201201,78745,City of Austin,196200
201201,78745,Commercial,26051300
201201,78745,Wholesale,4659400
201201,78746,Commercial,11627900
201201,78746,Irrigation - City of Austin,395800
201201,78746,City of Austin,1249200
201201,78746,Irrigation - Commercial,1990700
201201,78746,Wholesale,67229800
201201,78747,Wholesale,2038900
201201,78747,Commercial,990600
201201,78747,Irrigation - Commercial,721800
201201,78748,Irrigation - Commercial,3003100
201201,78748,Wholesale,537400
201201,78748,Commercial,10779500
201201,78748,Irrigation - City of Austin,26000
201201,78748,City of Austin,54800
201201,78749,Commercial,9251800
201201,78749,Wholesale,2781500
201201,78749,City of Austin,47000
201201,78749,Irrigation - City of Austin,40200
201201,78749,Austin Water Utility,100
201201,78749,Irrigation - Commercial,5591500
201201,78750,Irrigation - Commercial,3276000
201201,78750,Commercial,8068200
201201,78750,Irrigation - City of Austin,74800
201201,78750,City of Austin,247900
201201,78750,Austin Water Utility,739500
201201,78751,Irrigation - City of Austin,680600
201201,78751,Commercial,13866800
201201,78751,Irrigation - Commercial,443900
201201,78751,City of Austin,39000
201201,78752,Irrigation - Commercial,1985000
201201,78752,City of Austin,89800
201201,78752,Commercial,21243800
201201,78752,Irrigation - City of Austin,0
201201,78753,Irrigation - Commercial,5395800
201201,78753,City of Austin,21700
201201,78753,Irrigation - City of Austin,366900
201201,78753,Austin Water Utility,800
201201,78753,Commercial,32595000
201201,78754,Commercial,9093200
201201,78754,Irrigation - City of Austin,0
201201,78754,City of Austin,204300
201201,78754,Irrigation - Commercial,3344300
201201,78754,Large Volume,121229000
201201,78754,Austin Water Utility,96100
201201,78756,Austin Water Utility,65200
201201,78756,Irrigation - City of Austin,0
201201,78756,City of Austin,24100
201201,78756,Commercial,7934300
201201,78756,Irrigation - Commercial,314100
201201,78757,Commercial,16157400
201201,78757,City of Austin,120400
201201,78757,Irrigation - Commercial,682500
201201,78757,Irrigation - City of Austin,0
201201,78758,Irrigation - City of Austin,2140300
201201,78758,Irrigation - Commercial,4677800
201201,78758,City of Austin,612700
201201,78758,Commercial,44239100
201201,78759,Irrigation - Commercial,6542900
201201,78759,Austin Water Utility,0
201201,78759,Commercial,33658600
201201,78759,Irrigation - City of Austin,0
201201,78759,City of Austin,18000
201202,78613,Commercial,2296300
201202,78613,Irrigation - Commercial,854700
201202,78617,Commercial,9641400
201202,78617,Irrigation - City of Austin,0
201202,78617,Austin Water Utility,433500
201202,78617,City of Austin,3046600
201202,78617,Irrigation - Commercial,343900
201202,78640,Commercial,63800
201202,78652,Commercial,142100
201202,78652,Irrigation - Commercial,41200
201202,78653,Commercial,98900
201202,78653,Irrigation - Commercial,4300
201202,78653,Wholesale,0
201202,78660,Wholesale,23291000
201202,78660,Commercial,3360300
201202,78660,Irrigation - Commercial,999000
201202,78701,Irrigation - City of Austin,344000
201202,78701,Commercial,58349900
201202,78701,Large Volume,1384000
201202,78701,City of Austin,4345400
201202,78701,Austin Water Utility,90000
201202,78701,Irrigation - Commercial,753700
201202,78702,Irrigation - Commercial,1305100
201202,78702,Commercial,22658300
201202,78702,Irrigation - City of Austin,406300
201202,78702,City of Austin,546000
201202,78702,Austin Water Utility,56000
201202,78703,City of Austin,756400
201202,78703,Austin Water Utility,9700
201202,78703,Irrigation - Commercial,744600
201202,78703,Commercial,13782200
201202,78703,Irrigation - City of Austin,106000
201202,78704,Commercial,36148700
201202,78704,Irrigation - City of Austin,65600
201202,78704,City of Austin,2251200
201202,78704,Irrigation - Commercial,1988300
201202,78704,Austin Water Utility,43300
201202,78705,City of Austin,103000
201202,78705,Large Volume,2383400
201202,78705,Commercial,25921200
201202,78705,Irrigation - Commercial,3404800
201202,78705,Irrigation - City of Austin,400
201202,78712,Irrigation - City of Austin,0
201202,78712,Commercial,5937900
201202,78712,Large Volume,9291000
201202,78712,Irrigation - Commercial,577000
201202,78712,Irrigation - Large Volume,14795400
201202,78717,Commercial,3761700
201202,78717,Irrigation - City of Austin,0
201202,78717,Irrigation - Commercial,2625300
201202,78717,City of Austin,0
201202,78719,Commercial,3008300
201202,78719,Austin Water Utility,419500
201202,78719,Irrigation - City of Austin,161300
201202,78719,Wholesale,1344300
201202,78719,City of Austin,2548100
201202,78719,Irrigation - Commercial,318200
201202,78721,Irrigation - Commercial,190100
201202,78721,Commercial,6327100
201202,78721,City of Austin,163700
201202,78721,Austin Water Utility,6100
201202,78721,Irrigation - City of Austin,109700
201202,78722,City of Austin,17500
201202,78722,Commercial,3989400
201202,78722,Irrigation - Commercial,308000
201202,78722,Irrigation - City of Austin,910400
201202,78723,City of Austin,3665200
201202,78723,Commercial,12775500
201202,78723,Irrigation - City of Austin,36000
201202,78723,Austin Water Utility,0
201202,78723,Irrigation - Commercial,2908000
201202,78724,Commercial,6017800
201202,78724,Irrigation - City of Austin,0
201202,78724,Austin Water Utility,0
201202,78724,City of Austin,4791900
201202,78724,Irrigation - Commercial,1821300
201202,78725,Irrigation - Commercial,65100
201202,78725,Wholesale,482600
201202,78725,Austin Water Utility,768700
201202,78725,City of Austin,26000
201202,78725,Commercial,5325700
201202,78725,Large Volume,28345500
201202,78726,Commercial,5068200
201202,78726,Irrigation - Commercial,1745600
201202,78726,Austin Water Utility,0
201202,78726,City of Austin,270000
201202,78727,Commercial,11606500
201202,78727,Irrigation - Commercial,2460700
201202,78727,Irrigation - City of Austin,0
201202,78727,City of Austin,26400
201202,78728,Irrigation - Commercial,1280100
201202,78728,Commercial,2936500
201202,78728,Large Volume,15303000
201202,78728,Wholesale,31001800
201202,78729,Irrigation - City of Austin,0
201202,78729,Commercial,8260500
201202,78729,Irrigation - Commercial,1971200
201202,78729,Wholesale,21908000
201202,78729,City of Austin,12000
201202,78730,Commercial,1815300
201202,78730,Irrigation - Commercial,1364200
201202,78731,City of Austin,94800
201202,78731,Commercial,14203600
201202,78731,Irrigation - City of Austin,69800
201202,78731,Austin Water Utility,0
201202,78731,Irrigation - Commercial,1840200
201202,78732,Commercial,718800
201202,78735,Wholesale,382900
201202,78735,Large Volume,16374000
201202,78735,City of Austin,257000
201202,78735,Commercial,7136600
201202,78735,Irrigation - Commercial,2508100
201202,78735,Austin Water Utility,0
201202,78736,Commercial,1170800
201202,78736,Irrigation - Commercial,115500
201202,78737,Irrigation - Commercial,136000
201202,78737,Wholesale,413000
201202,78737,Commercial,301100
201202,78739,Wholesale,9507000
201202,78739,Commercial,1680900
201202,78739,Irrigation - City of Austin,0
201202,78739,Irrigation - Commercial,1038600
201202,78739,City of Austin,8000
201202,78741,Irrigation - Commercial,2148100
201202,78741,City of Austin,215800
201202,78741,Austin Water Utility,0
201202,78741,Commercial,15642500
201202,78741,Irrigation - City of Austin,1297800
201202,78741,Large Volume,35668700
201202,78742,Irrigation - Commercial,29100
201202,78742,Commercial,350700
201202,78744,City of Austin,839700
201202,78744,Irrigation - City of Austin,785500
201202,78744,Irrigation - Commercial,2394400
201202,78744,Commercial,22037600
201202,78744,Austin Water Utility,692900
201202,78744,Wholesale,1709000
201202,78745,Commercial,26767400
201202,78745,Irrigation - City of Austin,0
201202,78745,Irrigation - Commercial,2756100
201202,78745,City of Austin,222500
201202,78745,Wholesale,3810800
201202,78746,Irrigation - Commercial,1351000
201202,78746,City of Austin,1136900
201202,78746,Irrigation - City of Austin,358800
201202,78746,Commercial,10055000
201202,78746,Wholesale,63872800
201202,78747,Irrigation - Commercial,655600
201202,78747,Wholesale,2257600
201202,78747,Commercial,913500
201202,78747,Austin Water Utility,1215500
201202,78748,Commercial,10146100
201202,78748,Wholesale,487000
201202,78748,Irrigation - City of Austin,25900
201202,78748,City of Austin,50500
201202,78748,Irrigation - Commercial,2795900
201202,78749,Commercial,8858300
201202,78749,Irrigation - Commercial,5180200
201202,78749,Wholesale,1919000
201202,78749,Austin Water Utility,0
201202,78749,Irrigation - City of Austin,27400
201202,78749,City of Austin,36500
201202,78750,Irrigation - City of Austin,70000
201202,78750,Irrigation - Commercial,3161200
201202,78750,Austin Water Utility,11800
201202,78750,Commercial,7155300
201202,78750,City of Austin,125800
201202,78751,Irrigation - City of Austin,367000
201202,78751,Irrigation - Commercial,375400
201202,78751,City of Austin,52900
201202,78751,Commercial,13136300
201202,78752,Commercial,20468900
201202,78752,Irrigation - Commercial,1570000
201202,78752,Irrigation - City of Austin,0
201202,78752,City of Austin,93800
201202,78753,Austin Water Utility,600
201202,78753,Commercial,27403100
201202,78753,Irrigation - City of Austin,295600
201202,78753,Irrigation - Commercial,3937000
201202,78753,City of Austin,21400
201202,78754,Austin Water Utility,71700
201202,78754,Irrigation - Commercial,1882300
201202,78754,Large Volume,127581400
201202,78754,Irrigation - City of Austin,0
201202,78754,City of Austin,184800
201202,78754,Commercial,8264800
201202,78756,Commercial,7731100
201202,78756,Irrigation - Commercial,289900
201202,78756,City of Austin,28400
201202,78756,Austin Water Utility,53800
201202,78756,Irrigation - City of Austin,0
201202,78757,Irrigation - City of Austin,0
201202,78757,Irrigation - Commercial,364000
201202,78757,Commercial,15897200
201202,78757,City of Austin,247500
201202,78758,Commercial,40424800
201202,78758,Irrigation - City of Austin,1832900
201202,78758,Irrigation - Commercial,4282600
201202,78758,City of Austin,797200
201202,78759,Commercial,32696400
201202,78759,Irrigation - City of Austin,0
201202,78759,Irrigation - Commercial,5140200
201202,78759,Austin Water Utility,0
201202,78759,City of Austin,10900
201203,78613,Commercial,2689100
201203,78613,Irrigation - Commercial,916700
201203,78617,City of Austin,18333500
201203,78617,Commercial,10646300
201203,78617,Irrigation - Commercial,397700
201203,78617,Irrigation - City of Austin,0
201203,78617,Austin Water Utility,262700
201203,78640,Commercial,101900
201203,78652,Commercial,157500
201203,78652,Irrigation - Commercial,13500
201203,78653,Commercial,386500
201203,78653,Wholesale,0
201203,78653,Irrigation - Commercial,47200
201203,78660,Commercial,4030800
201203,78660,Irrigation - Commercial,1165400
201203,78660,Wholesale,23972600
201203,78701,City of Austin,5562800
201203,78701,Commercial,63750500
201203,78701,Austin Water Utility,108000
201203,78701,Large Volume,1714000
201203,78701,Irrigation - City of Austin,309800
201203,78701,Irrigation - Commercial,792100
201203,78702,Austin Water Utility,64200
201203,78702,Commercial,24291900
201203,78702,City of Austin,612800
201203,78702,Irrigation - Commercial,1106700
201203,78702,Irrigation - City of Austin,150100
201203,78703,Commercial,13665800
201203,78703,Irrigation - City of Austin,84400
201203,78703,Irrigation - Commercial,808800
201203,78703,Austin Water Utility,10300
201203,78703,City of Austin,957000
201203,78704,Austin Water Utility,52100
201203,78704,City of Austin,1368400
201203,78704,Irrigation - City of Austin,108700
201203,78704,Irrigation - Commercial,2015900
201203,78704,Commercial,34964200
201203,78705,Large Volume,3522100
201203,78705,City of Austin,90300
201203,78705,Irrigation - City of Austin,400
201203,78705,Irrigation - Commercial,2881500
201203,78705,Commercial,29681500
201203,78712,Irrigation - Large Volume,12580000
201203,78712,Irrigation - Commercial,431000
201203,78712,Large Volume,17860300
201203,78712,Commercial,6235700
201203,78712,Irrigation - City of Austin,0
201203,78717,Irrigation - City of Austin,0
201203,78717,City of Austin,0
201203,78717,Commercial,3991600
201203,78717,Irrigation - Commercial,2937500
201203,78719,City of Austin,1875900
201203,78719,Irrigation - City of Austin,204600
201203,78719,Austin Water Utility,337200
201203,78719,Commercial,3147300
201203,78719,Wholesale,752600
201203,78719,Irrigation - Commercial,202000
201203,78721,Irrigation - City of Austin,71700
201203,78721,Irrigation - Commercial,242700
201203,78721,Austin Water Utility,4200
201203,78721,Commercial,7283000
201203,78721,City of Austin,156800
201203,78722,Commercial,4397600
201203,78722,Irrigation - City of Austin,801100
201203,78722,City of Austin,20200
201203,78722,Irrigation - Commercial,330700
201203,78723,Irrigation - City of Austin,32000
201203,78723,Irrigation - Commercial,3253800
201203,78723,Commercial,14278000
201203,78723,City of Austin,2253800
201203,78724,City of Austin,2764000
201203,78724,Irrigation - Commercial,2456500
201203,78724,Commercial,6552700
201203,78724,Austin Water Utility,0
201203,78724,Irrigation - City of Austin,0
201203,78725,Austin Water Utility,1072000
201203,78725,Irrigation - Commercial,79500
201203,78725,Large Volume,28751400
201203,78725,Wholesale,933000
201203,78725,Commercial,4700900
201203,78725,City of Austin,27000
201203,78726,Austin Water Utility,0
201203,78726,City of Austin,271000
201203,78726,Commercial,5799400
201203,78726,Irrigation - Commercial,1518600
201203,78727,Irrigation - Commercial,3375200
201203,78727,Commercial,11996800
201203,78727,Irrigation - City of Austin,100
201203,78727,City of Austin,24200
201203,78728,Irrigation - Commercial,1581000
201203,78728,Large Volume,5969000
201203,78728,Wholesale,33207500
201203,78728,Commercial,4168500
201203,78729,Irrigation - City of Austin,0
201203,78729,Commercial,10353400
201203,78729,City of Austin,12300
201203,78729,Irrigation - Commercial,2596400
201203,78729,Wholesale,24055200
201203,78730,Irrigation - Commercial,1048100
201203,78730,Commercial,2008800
201203,78731,City of Austin,132800
201203,78731,Austin Water Utility,0
201203,78731,Irrigation - City of Austin,74200
201203,78731,Commercial,16008600
201203,78731,Irrigation - Commercial,2140700
201203,78732,Commercial,272600
201203,78735,Irrigation - Commercial,1863800
201203,78735,Wholesale,442300
201203,78735,Commercial,7314500
201203,78735,City of Austin,280000
201203,78735,Large Volume,15883000
201203,78735,Austin Water Utility,0
201203,78736,Irrigation - Commercial,128100
201203,78736,Commercial,1088800
201203,78737,Wholesale,451400
201203,78737,Commercial,363100
201203,78737,Irrigation - Commercial,112600
201203,78739,Irrigation - Commercial,469200
201203,78739,Commercial,1594000
201203,78739,Irrigation - City of Austin,700
201203,78739,Wholesale,9493200
201203,78739,City of Austin,9000
201203,78741,Irrigation - City of Austin,871900
201203,78741,Irrigation - Commercial,2311100
201203,78741,Commercial,16700500
201203,78741,Austin Water Utility,94000
201203,78741,Large Volume,37560000
201203,78741,City of Austin,270100
201203,78742,Commercial,440200
201203,78742,Irrigation - Commercial,33900
201203,78744,Austin Water Utility,352600
201203,78744,Commercial,24499800
201203,78744,City of Austin,670000
201203,78744,Irrigation - Commercial,3087600
201203,78744,Irrigation - City of Austin,1007300
201203,78744,Wholesale,2430000
201203,78745,Irrigation - Commercial,2278100
201203,78745,Commercial,26905000
201203,78745,Irrigation - City of Austin,500
201203,78745,City of Austin,123000
201203,78745,Wholesale,3617400
201203,78746,Irrigation - Commercial,1584300
201203,78746,Irrigation - City of Austin,344000
201203,78746,Wholesale,58437800
201203,78746,Commercial,11317000
201203,78746,City of Austin,1211100
201203,78747,Wholesale,2425500
201203,78747,Commercial,1055600
201203,78747,Irrigation - Commercial,567900
201203,78747,Austin Water Utility,1469600
201203,78748,Irrigation - City of Austin,23200
201203,78748,Irrigation - Commercial,2635800
201203,78748,City of Austin,38200
201203,78748,Commercial,11401600
201203,78748,Wholesale,477100
201203,78749,Wholesale,2191700
201203,78749,City of Austin,41600
201203,78749,Irrigation - Commercial,4512200
201203,78749,Austin Water Utility,100
201203,78749,Commercial,9469900
201203,78749,Irrigation - City of Austin,33800
201203,78750,Irrigation - Commercial,3176100
201203,78750,City of Austin,125700
201203,78750,Austin Water Utility,13900
201203,78750,Irrigation - City of Austin,69700
201203,78750,Commercial,7791400
201203,78751,City of Austin,51000
201203,78751,Commercial,14765200
201203,78751,Irrigation - Commercial,377600
201203,78751,Irrigation - City of Austin,561200
201203,78752,City of Austin,124900
201203,78752,Irrigation - Commercial,1384500
201203,78752,Commercial,23475500
201203,78752,Irrigation - City of Austin,0
201203,78753,Commercial,34312400
201203,78753,City of Austin,24800
201203,78753,Irrigation - City of Austin,308000
201203,78753,Austin Water Utility,600
201203,78753,Irrigation - Commercial,4906300
201203,78754,Irrigation - Commercial,2809100
201203,78754,City of Austin,274000
201203,78754,Large Volume,127174800
201203,78754,Irrigation - City of Austin,0
201203,78754,Commercial,9874300
201203,78754,Austin Water Utility,86600
201203,78756,Austin Water Utility,63200
201203,78756,Commercial,7865700
201203,78756,City of Austin,28600
201203,78756,Irrigation - Commercial,187900
201203,78756,Irrigation - City of Austin,0
201203,78757,Irrigation - City of Austin,0
201203,78757,Irrigation - Commercial,395400
201203,78757,City of Austin,96000
201203,78757,Commercial,15438800
201203,78758,Irrigation - City of Austin,2699200
201203,78758,Irrigation - Commercial,4626600
201203,78758,City of Austin,601800
201203,78758,Commercial,44717400
201203,78759,Irrigation - City of Austin,0
201203,78759,Irrigation - Commercial,5127000
201203,78759,City of Austin,11300
201203,78759,Austin Water Utility,0
201203,78759,Commercial,37258100
201204,78613,Irrigation - Commercial,1705800
201204,78613,Commercial,3527100
201204,78617,Irrigation - City of Austin,0
201204,78617,City of Austin,8887700
201204,78617,Austin Water Utility,89000
201204,78617,Commercial,9698500
201204,78617,Irrigation - Commercial,377900
201204,78640,Commercial,122500
201204,78652,Irrigation - Commercial,4100
201204,78652,Commercial,216300
201204,78653,Wholesale,0
201204,78653,Irrigation - Commercial,184000
201204,78653,Commercial,666300
201204,78660,Irrigation - Commercial,1373300
201204,78660,Commercial,3329400
201204,78660,Wholesale,25008000
201204,78701,Irrigation - City of Austin,379000
201204,78701,Austin Water Utility,120000
201204,78701,City of Austin,7460000
201204,78701,Large Volume,1329000
201204,78701,Irrigation - Commercial,950100
201204,78701,Commercial,68601700
201204,78702,Commercial,23268800
201204,78702,Irrigation - City of Austin,237100
201204,78702,Irrigation - Commercial,1335000
201204,78702,Austin Water Utility,44900
201204,78702,City of Austin,865600
201204,78703,Commercial,12114000
201204,78703,City of Austin,1039800
201204,78703,Irrigation - Commercial,825600
201204,78703,Austin Water Utility,8500
201204,78703,Irrigation - City of Austin,93100
201204,78704,City of Austin,1577400
201204,78704,Commercial,34361300
201204,78704,Irrigation - City of Austin,52100
201204,78704,Irrigation - Commercial,2862600
201204,78704,Austin Water Utility,19500
201204,78705,Irrigation - City of Austin,700
201204,78705,Irrigation - Commercial,5347200
201204,78705,City of Austin,76700
201204,78705,Commercial,29491500
201204,78705,Large Volume,3001100
201204,78712,Commercial,7691200
201204,78712,Irrigation - City of Austin,0
201204,78712,Large Volume,15509600
201204,78712,Irrigation - Commercial,489900
201204,78712,Irrigation - Large Volume,16572000
201204,78717,Irrigation - Commercial,3663800
201204,78717,Irrigation - City of Austin,0
201204,78717,Commercial,5384600
201204,78717,City of Austin,0
201204,78719,City of Austin,2812100
201204,78719,Irrigation - City of Austin,404800
201204,78719,Wholesale,1410800
201204,78719,Commercial,2968300
201204,78719,Austin Water Utility,425600
201204,78719,Irrigation - Commercial,247400
201204,78721,Irrigation - Commercial,294400
201204,78721,Irrigation - City of Austin,91100
201204,78721,City of Austin,161100
201204,78721,Austin Water Utility,3700
201204,78721,Commercial,6864300
201204,78722,Commercial,4030900
201204,78722,City of Austin,19800
201204,78722,Irrigation - City of Austin,639700
201204,78722,Irrigation - Commercial,622100
201204,78723,Irrigation - Commercial,2745800
201204,78723,City of Austin,2441200
201204,78723,Commercial,14018400
201204,78723,Irrigation - City of Austin,76800
201204,78724,Irrigation - City of Austin,0
201204,78724,Commercial,7372200
201204,78724,Irrigation - Commercial,2608200
201204,78724,City of Austin,5169700
201204,78724,Austin Water Utility,0
201204,78725,Commercial,4514500
201204,78725,Austin Water Utility,666100
201204,78725,City of Austin,27000
201204,78725,Irrigation - Commercial,62600
201204,78725,Large Volume,32458100
201204,78725,Wholesale,1050700
201204,78726,City of Austin,301000
201204,78726,Irrigation - Commercial,2086800
201204,78726,Austin Water Utility,0
201204,78726,Commercial,6136400
201204,78727,City of Austin,27900
201204,78727,Irrigation - Commercial,3754900
201204,78727,Commercial,11762600
201204,78727,Irrigation - City of Austin,200
201204,78728,Commercial,2814400
201204,78728,Large Volume,2823000
201204,78728,Wholesale,33307700
201204,78728,Irrigation - Commercial,1970600
201204,78729,Irrigation - City of Austin,0
201204,78729,Wholesale,28122400
201204,78729,City of Austin,12200
201204,78729,Commercial,10309300
201204,78729,Irrigation - Commercial,2789700
201204,78730,Irrigation - Commercial,1424300
201204,78730,Commercial,2120000
201204,78731,City of Austin,147400
201204,78731,Austin Water Utility,0
201204,78731,Irrigation - City of Austin,77800
201204,78731,Irrigation - Commercial,3908200
201204,78731,Commercial,15677200
201204,78732,Commercial,292100
201204,78735,City of Austin,254100
201204,78735,Irrigation - Commercial,2271000
201204,78735,Wholesale,353600
201204,78735,Large Volume,18171000
201204,78735,Commercial,8166900
201204,78735,Austin Water Utility,0
201204,78736,Irrigation - Commercial,198700
201204,78736,Commercial,1228900
201204,78737,Irrigation - Commercial,126500
201204,78737,Wholesale,420200
201204,78737,Commercial,401600
201204,78739,City of Austin,8000
201204,78739,Irrigation - City of Austin,900
201204,78739,Commercial,1050500
201204,78739,Irrigation - Commercial,1246200
201204,78739,Wholesale,10127700
201204,78741,Large Volume,35329000
201204,78741,Irrigation - City of Austin,1316700
201204,78741,City of Austin,242300
201204,78741,Austin Water Utility,59000
201204,78741,Irrigation - Commercial,3066700
201204,78741,Commercial,16791100
201204,78742,Irrigation - Commercial,45900
201204,78742,Commercial,561000
201204,78744,Irrigation - Commercial,3263300
201204,78744,City of Austin,742200
201204,78744,Austin Water Utility,349800
201204,78744,Irrigation - City of Austin,1226800
201204,78744,Wholesale,1564700
201204,78744,Commercial,23734000
201204,78745,Irrigation - Commercial,3054100
201204,78745,Commercial,25968600
201204,78745,Irrigation - City of Austin,10200
201204,78745,City of Austin,142600
201204,78745,Wholesale,4506700
201204,78746,Wholesale,69491200
201204,78746,Commercial,12198300
201204,78746,City of Austin,1099200
201204,78746,Irrigation - Commercial,1903500
201204,78746,Irrigation - City of Austin,34500
201204,78747,Austin Water Utility,1040600
201204,78747,Commercial,1190000
201204,78747,Wholesale,2708700
201204,78747,Irrigation - Commercial,468800
201204,78748,City of Austin,61300
201204,78748,Commercial,11028900
201204,78748,Wholesale,594000
201204,78748,Irrigation - Commercial,3231600
201204,78748,Irrigation - City of Austin,26100
201204,78749,Irrigation - City of Austin,28400
201204,78749,Irrigation - Commercial,4121800
201204,78749,Wholesale,2396500
201204,78749,Austin Water Utility,0
201204,78749,Commercial,9658800
201204,78749,City of Austin,61700
201204,78750,Irrigation - Commercial,3756900
201204,78750,Irrigation - City of Austin,136900
201204,78750,Austin Water Utility,285800
201204,78750,City of Austin,81900
201204,78750,Commercial,8558400
201204,78751,City of Austin,41500
201204,78751,Commercial,14907300
201204,78751,Irrigation - City of Austin,977900
201204,78751,Irrigation - Commercial,516600
201204,78752,Commercial,22740500
201204,78752,Irrigation - Commercial,1776400
201204,78752,Irrigation - City of Austin,0
201204,78752,City of Austin,34400
201204,78753,Austin Water Utility,400
201204,78753,Commercial,29312400
201204,78753,Irrigation - City of Austin,310100
201204,78753,Irrigation - Commercial,5707700
201204,78753,City of Austin,20000
201204,78754,Large Volume,136075500
201204,78754,City of Austin,223800
201204,78754,Austin Water Utility,75900
201204,78754,Irrigation - City of Austin,0
201204,78754,Irrigation - Commercial,2774100
201204,78754,Commercial,10380500
201204,78756,Commercial,8664100
201204,78756,Austin Water Utility,41900
